,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
190,2013-09-23 06:58:32,1355530,LABORAL,1,1,L-34-58-SN-85,T-34-270-NS-10,-4 days +12:32:21.000000000
189,2013-09-23 07:09:53,1355530,LABORAL,1,2,HOSPITAL SOTERO DEL RIO,CRISTOBAL COLON,0 days 00:11:21.000000000
188,2013-09-23 13:20:33,1355530,LABORAL,2,1,CRISTOBAL COLON,HOSPITAL SOTERO DEL RIO,0 days 06:10:40.000000000
187,2013-09-23 13:53:39,1355530,LABORAL,2,2,T-34-217-PO-35,L-34-58-NS-70,0 days 00:33:06.000000000
186,2013-09-24 07:10:40,1355530,LABORAL,3,1,L-34-58-SN-75,L-34-22-SN-47,0 days 17:17:01.000000000
185,2013-09-24 07:19:10,1355530,LABORAL,3,2,HOSPITAL SOTERO DEL RIO,PLAZA DE ARMAS,0 days 00:08:30.000000000
184,2013-09-24 16:28:58,1355530,LABORAL,4,1,PLAZA DE ARMAS,ELISA CORREA,0 days 09:09:48.000000000
183,2013-09-24 17:15:01,1355530,LABORAL,4,2,L-34-52-PO-5,L-34-54-NS-65,0 days 00:46:03.000000000
182,2013-09-25 07:09:11,1355530,LABORAL,5,1,L-34-58-SN-85,L-34-22-SN-47,0 days 13:54:10.000000000
181,2013-09-25 07:18:52,1355530,LABORAL,5,2,HOSPITAL SOTERO DEL RIO,CRISTOBAL COLON,0 days 00:09:41.000000000
180,2013-09-25 13:21:48,1355530,LABORAL,6,1,L-14-4-OP-25,T-14-170-SN-10,0 days 06:02:56.000000000
179,2013-09-25 13:34:37,1355530,LABORAL,6,2,T-17-140-OP-85,,0 days 00:12:49.000000000
178,2013-09-25 14:04:41,1355530,LABORAL,6,3,T-6-45-OP-23,,0 days 00:30:04.000000000
177,2013-09-25 18:42:45,1355530,LABORAL,7,1,NUBLE,ELISA CORREA,0 days 04:38:04.000000000
176,2013-09-25 19:10:51,1355530,LABORAL,7,2,L-34-52-PO-5,L-34-54-NS-65,0 days 00:28:06.000000000
175,2013-09-26 07:09:22,1355530,LABORAL,8,1,L-34-58-SN-75,L-34-22-SN-47,0 days 11:58:31.000000000
174,2013-09-26 07:16:53,1355530,LABORAL,8,2,HOSPITAL SOTERO DEL RIO,PLAZA DE ARMAS,0 days 00:07:31.000000000
173,2013-09-26 16:14:13,1355530,LABORAL,9,1,PLAZA DE ARMAS,HOSPITAL SOTERO DEL RIO,0 days 08:57:20.000000000
172,2013-09-26 16:55:32,1355530,LABORAL,9,2,T-34-270-SN-45,L-34-58-NS-70,0 days 00:41:19.000000000
171,2013-09-27 06:58:23,1355530,LABORAL,10,1,L-34-58-SN-75,T-34-270-NS-10,0 days 14:02:51.000000000
170,2013-09-27 07:07:50,1355530,LABORAL,10,2,HOSPITAL SOTERO DEL RIO,CRISTOBAL COLON,0 days 00:09:27.000000000
169,2013-09-27 13:15:37,1355530,LABORAL,11,1,CRISTOBAL COLON,HOSPITAL SOTERO DEL RIO,0 days 06:07:47.000000000
168,2013-09-27 13:52:38,1355530,LABORAL,11,2,T-34-270-SN-45,L-34-58-NS-70,0 days 00:37:01.000000000
167,2013-09-28 07:13:30,1355530,SABADO,12,1,L-34-58-SN-85,T-34-270-NS-10,0 days 17:20:52.000000000
166,2013-09-28 07:20:16,1355530,SABADO,12,2,HOSPITAL SOTERO DEL RIO,TOBALABA,0 days 00:06:46.000000000
165,2013-09-28 09:53:48,1355530,SABADO,13,1,TOBALABA,HOSPITAL SOTERO DEL RIO,0 days 02:33:32.000000000
164,2013-09-28 10:38:47,1355530,SABADO,13,2,T-34-217-PO-35,L-34-58-NS-70,0 days 00:44:59.000000000
163,2013-09-29 16:49:01,1355530,DOMINGO,14,1,L-34-58-SN-85,T-34-269-SN-20,1 days 06:10:14.000000000
162,2013-09-29 18:56:24,1355530,DOMINGO,15,1,L-34-99-SN-5,L-34-58-NS-70,0 days 02:07:23.000000000
