,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
15547,2013-04-15 08:40:05,24547373,LABORAL,1,1,MANUEL MONTT,UNIVERSIDAD DE CHILE,-6 days +15:29:15.000000000
15546,2013-04-15 13:21:49,24547373,LABORAL,2,1,UNIVERSIDAD DE CHILE,MANUEL MONTT,0 days 04:41:44.000000000
15545,2013-04-15 14:40:58,24547373,LABORAL,3,1,MANUEL MONTT,UNIVERSIDAD DE CHILE,0 days 01:19:09.000000000
15544,2013-04-15 19:05:37,24547373,LABORAL,4,1,UNIVERSIDAD DE CHILE,MANUEL MONTT,0 days 04:24:39.000000000
15543,2013-04-16 08:41:59,24547373,LABORAL,5,1,MANUEL MONTT,UNIVERSIDAD DE CHILE,0 days 13:36:22.000000000
15542,2013-04-16 20:08:27,24547373,LABORAL,6,1,UNIVERSIDAD DE CHILE,MANUEL MONTT,0 days 11:26:28.000000000
15541,2013-04-17 08:31:43,24547373,LABORAL,7,1,MANUEL MONTT,UNIVERSIDAD DE CHILE,0 days 12:23:16.000000000
15540,2013-04-17 12:48:11,24547373,LABORAL,8,1,UNIVERSIDAD DE CHILE,MANUEL MONTT,0 days 04:16:28.000000000
15539,2013-04-17 14:46:06,24547373,LABORAL,9,1,MANUEL MONTT,UNIVERSIDAD DE CHILE,0 days 01:57:55.000000000
15538,2013-04-17 20:18:04,24547373,LABORAL,10,1,UNIVERSIDAD DE CHILE,MANUEL MONTT,0 days 05:31:58.000000000
15537,2013-04-18 08:46:20,24547373,LABORAL,11,1,MANUEL MONTT,UNIVERSIDAD DE CHILE,0 days 12:28:16.000000000
15536,2013-04-18 19:55:43,24547373,LABORAL,12,1,UNIVERSIDAD DE CHILE,MANUEL MONTT,0 days 11:09:23.000000000
15535,2013-04-19 08:40:10,24547373,LABORAL,13,1,MANUEL MONTT,UNIVERSIDAD DE CHILE,0 days 12:44:27.000000000
15534,2013-04-19 17:56:55,24547373,LABORAL,14,1,UNIVERSIDAD DE CHILE,MANUEL MONTT,0 days 09:16:45.000000000
