,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
113,2013-09-23 07:12:49,1261466,LABORAL,1,1,SIMON BOLIVAR,LA MONEDA,-7 days +20:21:03.000000000
112,2013-09-23 19:25:45,1261466,LABORAL,2,1,LA MONEDA,SIMON BOLIVAR,0 days 12:12:56.000000000
111,2013-09-24 07:46:55,1261466,LABORAL,3,1,SIMON BOLIVAR,SANTA LUCIA,0 days 12:21:10.000000000
110,2013-09-24 19:25:41,1261466,LABORAL,4,1,SANTA LUCIA,SIMON BOLIVAR,0 days 11:38:46.000000000
109,2013-09-25 08:27:09,1261466,LABORAL,5,1,SIMON BOLIVAR,SALVADOR,0 days 13:01:28.000000000
108,2013-09-25 10:50:01,1261466,LABORAL,6,1,SALVADOR,LA MONEDA,0 days 02:22:52.000000000
107,2013-09-25 18:54:50,1261466,LABORAL,7,1,LA MONEDA,SIMON BOLIVAR,0 days 08:04:49.000000000
106,2013-09-26 07:49:05,1261466,LABORAL,8,1,PEDRO DE VALDIVIA,,0 days 12:54:15.000000000
105,2013-09-26 07:49:08,1261466,LABORAL,9,1,PEDRO DE VALDIVIA,LOS HEROES,0 days 00:00:03.000000000
104,2013-09-26 16:21:45,1261466,LABORAL,10,1,LOS HEROES,MANUEL MONTT,0 days 08:32:37.000000000
103,2013-09-26 17:44:25,1261466,LABORAL,11,1,T-14-128-OP-60,E-20-53-OP-100,0 days 01:22:40.000000000
102,2013-09-26 19:37:29,1261466,LABORAL,12,1,E-20-53-PO-40,E-20-53-PO-90,0 days 01:53:04.000000000
101,2013-09-26 20:07:36,1261466,LABORAL,12,2,SANTA LUCIA,PEDRO DE VALDIVIA,0 days 00:30:07.000000000
100,2013-09-27 07:50:04,1261466,LABORAL,13,1,PEDRO DE VALDIVIA,LA MONEDA,0 days 11:42:28.000000000
99,2013-09-27 19:03:24,1261466,LABORAL,14,1,LA MONEDA,PEDRO DE VALDIVIA,0 days 11:13:20.000000000
98,2013-09-28 08:26:25,1261466,SABADO,15,1,T-19-170-SN-40,E-20-53-OP-70,0 days 13:23:01.000000000
97,2013-09-28 10:35:10,1261466,SABADO,16,1,LA MONEDA,PLAZA EGANA,0 days 02:08:45.000000000
96,2013-09-28 11:40:54,1261466,SABADO,17,1,T-18-157-OP-15,T-18-157-OP-50,0 days 01:05:44.000000000
95,2013-09-28 12:36:08,1261466,SABADO,18,1,T-18-157-PO-50,T-19-164-PO-5,0 days 00:55:14.000000000
94,2013-09-29 11:47:40,1261466,DOMINGO,19,1,SIMON BOLIVAR,,0 days 23:11:32.000000000
