,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
23117,2013-04-15 08:16:26,50264508,LABORAL,1,1,SIMON BOLIVAR,LA MONEDA,-7 days +20:55:55.000000000
23116,2013-04-15 18:53:57,50264508,LABORAL,2,1,LA MONEDA,SIMON BOLIVAR,0 days 10:37:31.000000000
23115,2013-04-16 08:14:19,50264508,LABORAL,3,1,SIMON BOLIVAR,LA MONEDA,0 days 13:20:22.000000000
23114,2013-04-16 18:27:29,50264508,LABORAL,4,1,LA MONEDA,SIMON BOLIVAR,0 days 10:13:10.000000000
23113,2013-04-17 08:20:10,50264508,LABORAL,5,1,SIMON BOLIVAR,LA MONEDA,0 days 13:52:41.000000000
23112,2013-04-17 18:30:42,50264508,LABORAL,6,1,LA MONEDA,SIMON BOLIVAR,0 days 10:10:32.000000000
23111,2013-04-18 08:17:27,50264508,LABORAL,7,1,SIMON BOLIVAR,LA MONEDA,0 days 13:46:45.000000000
23110,2013-04-18 16:32:53,50264508,LABORAL,8,1,LA MONEDA,,0 days 08:15:26.000000000
23109,2013-04-18 16:33:01,50264508,LABORAL,9,1,LA MONEDA,TOBALABA,0 days 00:00:08.000000000
23108,2013-04-18 18:37:00,50264508,LABORAL,10,1,TOBALABA,SIMON BOLIVAR,0 days 02:03:59.000000000
23107,2013-04-19 08:21:45,50264508,LABORAL,11,1,SIMON BOLIVAR,SANTA LUCIA,0 days 13:44:45.000000000
23106,2013-04-19 17:52:09,50264508,LABORAL,12,1,SANTA LUCIA,SIMON BOLIVAR,0 days 09:30:24.000000000
