,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
35664,2013-04-15 10:02:32,54161564,LABORAL,1,1,T-13-94-PO-20,T-7-53-PO-70,-5 days +15:17:07.000000000
35663,2013-04-15 20:34:13,54161564,LABORAL,2,1,UNIVERSIDAD DE SANTIAGO,LAS REJAS,0 days 10:31:41.000000000
35662,2013-04-15 20:41:35,54161564,LABORAL,2,2,E-9-53-OP-6,T-13-94-OP-25,0 days 00:07:22.000000000
35661,2013-04-16 09:40:32,54161564,LABORAL,3,1,T-13-94-PO-25,E-13-278-PO-10,0 days 12:58:57.000000000
35660,2013-04-16 09:55:28,54161564,LABORAL,3,2,E-13-54-SN-10,E-20-53-PO-5,0 days 00:14:56.000000000
35659,2013-04-16 18:18:44,54161564,LABORAL,4,1,ESTACION CENTRAL,LAS REJAS,0 days 08:23:16.000000000
35658,2013-04-16 18:28:55,54161564,LABORAL,4,2,E-9-53-OP-6,T-13-94-OP-25,0 days 00:10:11.000000000
35657,2013-04-17 12:03:54,54161564,LABORAL,5,1,T-13-94-PO-20,T-7-53-PO-70,0 days 17:34:59.000000000
35656,2013-04-17 15:45:06,54161564,LABORAL,6,1,UNIVERSIDAD DE SANTIAGO,SAN ALBERTO HURTADO,0 days 03:41:12.000000000
35655,2013-04-17 21:02:47,54161564,LABORAL,7,1,UNIVERSIDAD DE SANTIAGO,LAS REJAS,0 days 05:17:41.000000000
35654,2013-04-17 21:11:29,54161564,LABORAL,7,2,E-9-53-OP-6,T-13-94-OP-25,0 days 00:08:42.000000000
35653,2013-04-18 06:51:02,54161564,LABORAL,8,1,T-13-97-SN-40,E-13-278-PO-15,0 days 09:39:33.000000000
35652,2013-04-18 07:02:25,54161564,LABORAL,8,2,E-13-54-SN-10,E-7-53-PO-10,0 days 00:11:23.000000000
35651,2013-04-18 08:00:05,54161564,LABORAL,9,1,E-7-53-PO-25,T-7-53-PO-70,0 days 00:57:40.000000000
35650,2013-04-18 20:27:15,54161564,LABORAL,10,1,UNIVERSIDAD DE SANTIAGO,LAS REJAS,0 days 12:27:10.000000000
35649,2013-04-18 20:39:39,54161564,LABORAL,10,2,E-9-53-OP-6,L-13-30-NS-50,0 days 00:12:24.000000000
35648,2013-04-19 06:58:31,54161564,LABORAL,11,1,T-13-94-PO-30,E-13-278-PO-10,0 days 10:18:52.000000000
35647,2013-04-19 07:08:10,54161564,LABORAL,11,2,E-13-54-SN-10,T-7-53-PO-70,0 days 00:09:39.000000000
35646,2013-04-19 13:11:54,54161564,LABORAL,12,1,UNIVERSIDAD DE SANTIAGO,PLAZA MAIPU,0 days 06:03:44.000000000
35645,2013-04-19 13:50:03,54161564,LABORAL,13,1,L-13-18-OP-20,,0 days 00:38:09.000000000
35644,2013-04-19 21:39:04,54161564,LABORAL,14,1,L-13-18-OP-20,T-13-94-OP-20,0 days 07:49:01.000000000
