,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
20680,2013-09-23 14:12:06,47472570,LABORAL,1,1,L-34-52-OP-25,L-34-52-OP-105,-6 days +18:53:00.000000000
20679,2013-09-23 14:19:16,47472570,LABORAL,1,2,T-34-270-SN-60,T-33-134-SN-85,0 days 00:07:10.000000000
20678,2013-09-23 22:18:51,47472570,LABORAL,2,1,MIRADOR,ELISA CORREA,0 days 07:59:35.000000000
20677,2013-09-23 22:41:15,47472570,LABORAL,2,2,L-34-52-PO-5,L-34-52-PO-20,0 days 00:22:24.000000000
20676,2013-09-24 13:48:33,47472570,LABORAL,3,1,L-34-52-OP-35,L-34-52-OP-105,0 days 15:07:18.000000000
20675,2013-09-24 13:54:41,47472570,LABORAL,3,2,L-34-22-SN-60,T-33-134-SN-85,0 days 00:06:08.000000000
20674,2013-09-24 22:21:58,47472570,LABORAL,4,1,MIRADOR,ELISA CORREA,0 days 08:27:17.000000000
20673,2013-09-24 22:46:35,47472570,LABORAL,4,2,L-34-52-PO-5,L-34-52-PO-20,0 days 00:24:37.000000000
20672,2013-09-25 22:15:22,47472570,LABORAL,5,1,MIRADOR,ELISA CORREA,0 days 23:28:47.000000000
20671,2013-09-25 22:35:42,47472570,LABORAL,5,2,L-34-52-PO-5,L-34-52-PO-20,0 days 00:20:20.000000000
20670,2013-09-26 14:12:09,47472570,LABORAL,6,1,L-34-52-OP-25,L-34-52-OP-105,0 days 15:36:27.000000000
20669,2013-09-26 14:25:41,47472570,LABORAL,6,2,T-34-270-SN-47,T-33-134-SN-85,0 days 00:13:32.000000000
20668,2013-09-26 21:11:03,47472570,LABORAL,7,1,MIRADOR,BELLAVISTA DE LA FLORIDA,0 days 06:45:22.000000000
20667,2013-09-26 21:15:36,47472570,LABORAL,8,1,I-33-134-SN-67,T-33-134-SN-85,0 days 00:04:33.000000000
20666,2013-09-27 14:56:45,47472570,LABORAL,9,1,MIRADOR,BELLAVISTA DE LA FLORIDA,0 days 17:41:09.000000000
20665,2013-09-27 15:03:42,47472570,LABORAL,9,2,T-33-134-SN-63,,0 days 00:06:57.000000000
