,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
20183,2013-04-15 07:22:46,42922612,LABORAL,1,1,L-13-31-OP-60,L-13-10-PO-5,-5 days +13:16:20.000000000
20182,2013-04-15 07:38:31,42922612,LABORAL,1,2,DEL SOL,SANTA ANA,0 days 00:15:45.000000000
20181,2013-04-15 17:09:58,42922612,LABORAL,2,1,SANTA ANA,MONTE TABOR,0 days 09:31:27.000000000
20180,2013-04-16 07:20:17,42922612,LABORAL,3,1,MONTE TABOR,SANTA ANA,0 days 14:10:19.000000000
20179,2013-04-16 18:02:48,42922612,LABORAL,4,1,SANTA ANA,MONTE TABOR,0 days 10:42:31.000000000
20178,2013-04-17 17:56:20,42922612,LABORAL,5,1,SANTA ANA,,0 days 23:53:32.000000000
20177,2013-04-18 07:26:26,42922612,LABORAL,6,1,MONTE TABOR,SANTA ANA,0 days 13:30:06.000000000
20176,2013-04-18 19:38:02,42922612,LABORAL,7,1,SANTA ANA,MONTE TABOR,0 days 12:11:36.000000000
20175,2013-04-19 07:52:24,42922612,LABORAL,8,1,MONTE TABOR,SANTA ANA,0 days 12:14:22.000000000
20174,2013-04-19 16:40:24,42922612,LABORAL,9,1,T-20-182-PO-36,,0 days 08:48:00.000000000
