,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
96783,2013-09-23 07:11:43,75489580,LABORAL,1,1,MONTE TABOR,SANTA ANA,-5 days +10:43:44.000000000
96782,2013-09-23 18:46:38,75489580,LABORAL,2,1,SANTA ANA,MONTE TABOR,0 days 11:34:55.000000000
96781,2013-09-24 07:12:25,75489580,LABORAL,3,1,MONTE TABOR,SANTA ANA,0 days 12:25:47.000000000
96780,2013-09-24 18:10:19,75489580,LABORAL,4,1,SANTA ANA,MONTE TABOR,0 days 10:57:54.000000000
96779,2013-09-25 07:12:43,75489580,LABORAL,5,1,MONTE TABOR,SANTA ANA,0 days 13:02:24.000000000
96778,2013-09-25 18:22:14,75489580,LABORAL,6,1,SANTA ANA,MONTE TABOR,0 days 11:09:31.000000000
96777,2013-09-26 07:13:33,75489580,LABORAL,7,1,MONTE TABOR,SANTA ANA,0 days 12:51:19.000000000
96776,2013-09-26 18:19:14,75489580,LABORAL,8,1,SANTA ANA,MONTE TABOR,0 days 11:05:41.000000000
96775,2013-09-27 07:14:01,75489580,LABORAL,9,1,MONTE TABOR,SANTA ANA,0 days 12:54:47.000000000
96774,2013-09-27 18:36:24,75489580,LABORAL,10,1,SANTA ANA,MONTE TABOR,0 days 11:22:23.000000000
